,name,avg-250d,max-250d,strategy-250d,bs-250d,wm-250d,wq-250d,wh-250d,wy-250d,mq-250d,mh-250d,my-250d,qh-250d,qy-250d,hy-250d,wmq-250d,wmqh-250d,wmqhy-250d,mqh-250d,mqhy-250d,qhy-250d,avg-500d,max-500d,strategy-500d,bs-500d,wm-500d,wq-500d,wh-500d,wy-500d,mq-500d,mh-500d,my-500d,qh-500d,qy-500d,hy-500d,wmq-500d,wmqh-500d,wmqhy-500d,mqh-500d,mqhy-500d,qhy-500d,avg-all,max-all,strategy-all,bs-all,wm-all,wq-all,wh-all,wy-all,mq-all,mh-all,my-all,qh-all,qy-all,hy-all,wmq-all,wmqh-all,wmqhy-all,mqh-all,mqhy-all,qhy-all
'000028,国药一致,0.9916076677907266,1.0864142547341424,mh,S,0.989509174741,1.01174309229,1.04577006549,1.03287951802,0.950435550563,1.08641425473,0.999889671593,0.908562671593,1.00395855455,0.902516473824,0.962811516318,1.03615371964,1.03615371964,0.995181015037,0.995181015037,0.908562671593,0.8663512999631878,1.1103635965702956,wm,S,1.11036359657,0.914945298867,0.837394376025,0.781009844559,0.868019180329,0.746884076705,0.743727559476,0.809401004954,0.778374665812,0.665529765841,0.913431406135,1.03642786878,1.04039469681,0.992411804053,0.923224949169,0.700080705328,76.18397399009821,1045.066824392739,wm,S,1045.06682439,18.2981342508,35.2543500364,17.3122341484,2.01094584176,10.992347642,10.9212706583,11.6199553126,8.17404675672,7.53333884106,20.6785219283,10.5534036968,6.6068293446,4.06585163652,2.78633685903,7.06919249543
'300327,中颖电子,0.9389304683716512,1.1773206539403467,wmq,S,0.991115627038,1.09772068573,0.77160908878,0.888566312949,1.02796512787,0.730375737203,0.88677557946,0.749826450322,0.808936907594,0.99776596194,1.17732065394,0.958550317016,1.0,0.936359044106,1.0,1.0,1.0620265411636003,1.6010086920637883,wmq,S,1.38384719425,1.57896173123,0.899223791884,1.09417945141,0.88235322035,0.758954749358,1.00266570563,0.782380862424,0.932881318164,1.21945006405,1.60100869206,1.08168798689,1.12846239544,0.775134240148,0.827817326086,1.04341592923,3.228844416926972,8.334873328680164,wm,S,8.33487332868,7.28923363011,1.7891987435,4.10108838795,2.13780756083,1.91529602,2.68257371188,0.964671707204,2.82057639917,4.82583898931,6.08786299512,2.8008440393,2.49499831028,1.21685516915,1.10966714136,1.090124537
'002253,川大智胜,0.8897298676580646,1.0,my,S,0.87879830188,0.903146440121,0.842725257006,0.94498353,0.777217798748,0.73291313694,1.0,0.561941184007,1.0,1.0,0.963009018082,0.911687782134,1.0,0.719255433611,1.0,1.0,0.9422046025378548,1.6713562880361912,wm,S,1.67135628804,0.815586342514,0.900686088159,0.937525991233,0.853246288892,0.80037492205,0.874294851936,0.689705333489,1.16799167639,0.638494699421,1.32809110514,1.11430364449,1.0031570457,0.69980126652,0.798551783954,0.782106312682,4.8948689546012565,45.030196986441574,wm,S,45.0301969864,8.9426859652,2.46756556937,1.35703984951,1.95578393536,1.30075703439,1.45781472332,0.351389056591,2.55302045136,1.79487553151,7.52157789072,1.35252224299,1.12765443855,0.322614972577,0.339918901211,0.442485724513
'002183,怡 亚 通,0.938130323775881,1.0279998930619725,wm,S,1.02799989306,0.852059819363,0.949664334276,1.0,0.636938382602,0.890748420647,1.0,0.849579559698,1.0,1.0,0.828365096155,1.0,1.0,0.974729674611,1.0,1.0,0.7561545668338062,1.0429048277927306,wm,S,1.04290482779,0.685111641147,0.700931957949,0.641081205465,0.39530098512,0.694624768302,0.668027723684,0.591623615547,0.685322854757,0.610379035341,0.712062546096,1.0,1.0,0.974729674611,1.0,0.696372233528,6.068990459853125,30.310328508409487,wm,S,30.3103285084,3.82866160346,3.33697466987,4.26972618103,2.93616615551,3.71178873069,3.66628408543,3.78719703731,5.03163937259,3.13446021511,8.28980548957,8.5581567103,4.28880565783,6.28470680668,3.05659000753,2.61255612633
'300010,立思辰,0.9661960098436042,1.013458461091256,mh,S,0.846573966356,0.906065644275,0.959048765985,1.0,0.826025473522,1.01345846109,1.0,1.0,1.0,1.0,0.907963846268,1.0,1.0,1.0,1.0,1.0,0.5586536666976303,0.8503145104350001,wmqhy,S,0.612856030427,0.403950063701,0.49237448582,0.351476336404,0.50623391448,0.434457836335,0.44248999479,0.424605240791,0.442489760223,0.402444532174,0.697316832313,0.850314510435,0.850314510435,0.805559216467,0.805559216467,0.416016185899,4.574878583859656,8.035475024074298,mqh,S,6.18047399453,4.47663631587,6.10669777225,3.50936813545,3.10736158213,5.91924024793,3.51581554315,4.33711457654,5.05035595671,3.7783224928,3.16497421287,3.90520731201,3.23906803696,8.03547502407,5.54036005793,3.33158608054
'600708,光明地产,0.9398104990448602,1.2434563791616047,wm,S,1.24345637916,0.976801893812,0.957615721509,0.927564339347,0.974685403684,0.899818449882,0.814879217664,0.804844396646,0.889828373293,0.955704785968,1.06080605308,0.949103312249,1.01364157277,0.863203037546,0.850354570068,0.854660478039,0.9183821941138932,1.3206424031792925,wm,S,1.32064240318,0.964901312097,0.982417486709,0.880493562192,1.00024834841,0.849083190262,0.814879217664,0.649442979103,0.79493141228,0.978798662264,1.09112357159,0.872359669723,1.01364157277,0.77613666947,0.850354570068,0.854660478039,23.409339084348474,336.97343255407395,wm,S,336.973432554,10.5913188086,1.50278629093,2.04872600485,0.597961475993,0.111065359456,0.701678111197,0.0807234370334,0.845000522445,2.42932008307,11.6053601343,2.94229297262,3.14503883082,0.152689510455,0.334631275075,0.487399978641
'601126,四方股份,0.83234251906218,0.9689157384756093,wm,S,0.968915738476,0.832013709162,0.85909595431,0.900343927823,0.683973505724,0.818621644719,0.806849454487,0.901028279093,0.834019136389,0.761574730756,0.811863828006,0.883116253492,0.883116253492,0.735959804986,0.735959804986,0.901028279093,0.8782515988972295,1.197359109256889,wm,S,1.19735910926,0.85603784855,0.91653829666,1.02427908861,0.597652780363,0.744792050874,0.894378174699,0.92738845964,0.96049053802,0.789755872416,0.885694641607,0.901358293326,0.912337652064,0.649169814653,0.76031194969,1.03448101193,1.2692050894483045,4.0180938952374685,wm,S,4.01809389524,1.16801628417,1.08529050781,1.52346426005,0.600294018064,0.698199755065,1.26607070849,1.17797984395,0.662071608174,0.734010320293,1.43178505983,1.64679111055,1.38722405968,0.842127752756,0.914696549036,1.15116569801
'600315,上海家化,1.0957174895201551,1.2179419277436223,wm,S,1.21794192774,1.11626889533,1.16844738195,1.13312924403,1.06444538419,1.13582255342,1.13508418385,1.08733199163,1.0891514774,1.08047825058,1.10914300571,1.05137404428,1.05073432745,1.00900446807,1.00264444611,1.08047825058,1.0505809122850003,1.1478459192110835,wq,S,1.10712264618,1.14784591921,1.09492970726,1.13312924403,0.934271905313,1.09155316371,1.13508418385,1.03035190175,1.0891514774,0.920033605811,1.05968437364,0.975147554919,1.05073432745,0.957131889346,1.00264444611,1.08047825058,14.328926735633399,29.522486419416232,wm,S,29.5224864194,14.6047207294,25.8029169941,20.0060137016,3.30972916272,19.2315148084,18.4533392534,7.01580525642,26.4525857646,14.7582187858,7.44444367147,7.07767890908,9.06107334955,6.34290810913,9.39697062015,10.7824222349
'601099,太平洋,0.9479043849538707,1.006033028242717,wm,S,1.00603302824,0.954717672842,0.967535275677,0.936128293208,0.96172003556,0.952441558817,0.928018514666,0.907205949307,0.799462303184,0.807497150876,0.981029062918,1.0,1.0,0.968673425918,1.0,0.996007888045,0.902322663801297,1.2734116174792705,wmq,S,1.19381273272,0.959795124447,0.899969133243,1.02253172899,0.787769870746,0.706678932148,0.996294519901,0.71558533664,0.773225943971,0.622394141594,1.27341161748,1.23619128626,0.872307112154,0.815655450156,0.793847229994,0.767692460374,2.031956006502751,9.882897245709136,wm,S,9.88289724571,1.79746752118,1.05780506662,2.06519289843,0.4638993937,0.544008122569,1.8350151589,0.580111197994,1.42701793613,0.741636181421,4.09563157702,3.40713479701,2.00482535236,0.970908274732,0.92414805616,0.713597324113
